Index,Udemy course URL,Instructor URL,Intructor name,Instructor rating,Number of reviews,Number of students,Number of courses,LinkedIN URL,Youtube URL
1,https://www.udemy.com/jquery-tutorial/,https://www.udemy.com/user/josephparys/,Joe Parys,4.3,"72,941","932,018",88,https://linkedin.com/linkedin.com/in/joe-parys-7816799a,https://www.youtube.com/UCRukJuuBAdoHMTBIsFJAgvw
2,https://www.udemy.com/learn-to-create-wicked-logo-designs-in-illustrator-quickly/,https://www.udemy.com/user/davidnewton12/,David Newton,4.2,663,"16,032",16,https://linkedin.com/in/davidnewtonservices,https://www.youtube.com/user/IMAGINATI0NZ0NE
3,https://www.udemy.com/javawebservicespart2/,https://www.udemy.com/user/bharaththippireddy/,Bharath Thippireddy,4.5,"124,359","689,012",37,https://linkedin.com/profile/view?id=AAIAAAhcC4cBI2_8Orh7x0Oq0RylfrvtlEeT9FM,https://www.youtube.com/thippireddybharath
4,https://www.udemy.com/trade-for-profit-how-to-find-and-trade-stocks-successfully-chinese/,https://www.udemy.com/user/lucamoschini/,Luca Moschini,4.5,"9,960","160,096",23,https://linkedin.com/in/lucamoschini,https://www.youtube.com/c/sharpertrades
5,https://www.udemy.com/ultimate-guide-to-social-media-web-development-integration/,https://www.udemy.com/user/lars51/,Laurence Svekis,4.3,"61,336","960,625",326,https://linkedin.com/in/svekis,https://www.youtube.com/channel/UCgsZ8_79Eclct_VDoql_Dwg
6,https://www.udemy.com/php7-new-features/,https://www.udemy.com/user/lawrenceturton/,Lawrence Turton,4.5,"52,138","546,515",7,https://linkedin.com/in/lawrence-turton-672ba684,https://www.youtube.com/avelx
7,https://www.udemy.com/basics-of-auditing/,https://www.udemy.com/user/caraja/,"Raja Natarajan, B.Com., PGDBA, FCA",4.3,"14,383","221,295",108,https://linkedin.com/in/carajaclasses/,https://www.youtube.com/user/poojaraj2009
8,https://www.udemy.com/magic-of-eb-key-12-piano-tips-to-play-open-10-ballad-feel/,https://www.udemy.com/user/rosasuen/,Rosa Suen,4.5,"1,950","33,583",108,https://linkedin.com/in/pianorosa,https://www.youtube.com/PianoWithRosa/videos
9,https://www.udemy.com/hedge-fund-mutual-fund-careers-the-complete-guide-how-to-pick-stocks/,https://www.udemy.com/user/chris-haroun/,Chris Haroun | 1.3 Million Students | #1 Best Selling Business & Finance Prof.,4.6,"223,696","1,377,327",74,https://linkedin.com/in/charoun,https://www.youtube.com/ChrisHarounVenturesCompleteBusinessEducation?sub_confirmation=1
10,https://www.udemy.com/fixed-income-securities/,https://www.udemy.com/user/paulsiegel2/,Starweaver Instructor Team,4.5,"23,023","213,919",22,https://linkedin.com/company/starweaver,https://www.youtube.com/c/starweavergroup
