index_number,followers_count_linkedin,number_of_connections_mapped_linkedin,average_reaction_count_linkedin,average_comment_count_linkedin,average_post_frequency_linkedin
2422,4517,1,16.33,1,71.03
757,3070,1,10.33,0.33,91.32
510,1100,1,8.67,0.67,20.29
337,2294,1,28.33,0.67,17.15
1741,4153,1,0,0,71.03
892,1482,1,7.67,2.67,9.33
1486,2823,1,29.33,3.33,182.55
2122,1609,1,282.67,28.67,83.17
2886,703,1,22.67,0.67,22.63
2285,4000,1,6.33,0.33,1
457,537,1,19,5,263.81
2806,69640,1,190,1,1
919,835,1,369.67,2.33,10.15
156,2570,1,8,1.67,126.43
576,3672,1,15.5,873.33,273.96
104,1745,1,0,0,91.32
1076,531,0,0,0,101.47
1654,1416,1,28.33,0,32.77
2423,26453,1,5,0,3
844,13702,1,24,1.67,1.33
1164,51601,1,141.67,12.67,1.33
81,62969,1,4229,116,40.59
1953,2677,1,9,1,30.44
2136,303,0,7,0.33,20.29
1165,329,0,5.67,0.33,121.76
249,4377,1,56.67,0.67,13.48
1640,57949,1,45.33,3.67,1
622,583,1,0,0.67,1
1300,720,1,1.67,0,91.32
932,1780,1,23,4,121.76
1248,3344,1,26,2.33,294.16
250,3354,1,2.33,0.33,101.47
2059,1244,1,36.67,12,152.2
149,2258,1,9,0.33,103.8
2286,23,0,0.33,0,71.03
1876,53217,1,12,1.33,1
2598,1273,1,8.67,2.33,91.32
2699,21725,1,127.33,12.33,111.61
64,3143,1,0.33,0,40.59
2863,772,1,5.67,0.33,1
2500,5218,1,16.67,1.67,182.64
955,422,0,2.67,0,91.32
969,502,0,0,0,131.91
888,6257,1,45.67,0,13.67
2943,2310,1,0.33,0.33,9.33
224,1072,1,5.33,0.33,71.03
1100,16206,1,10.67,0.33,1
1128,1293,1,500.33,32.33,61.88
1018,745,1,16,1,67.88
589,550,0,0,0,71.03
1969,152331,1,188,7,1.33
413,342,0,7,0,142.05
1229,12194,1,0.33,0,91.32
1722,914,1,13.33,0,102.13
1688,5153,1,7.33,0,50.73
900,8067,1,450.67,37,213.08
1915,5399,1,80.67,2.33,3
1425,5166,1,54,12,18.67
87,680,1,0.33,0,1
1852,1839,1,0,0,10.15
990,4922,1,3.67,0,4.33
1851,5250,1,17.67,0.67,5
947,1523,1,16,0,71.03
1172,19326,1,281,12.67,4.67
2065,20928,1,32,1,82.17
1906,883,1,20.33,1.33,192.79
1047,6441,1,22.67,4.67,40.59
719,83,0,110.67,1.67,50.73
1121,13100,1,12,2.67,2
972,1784,1,4.67,0,42.92
195,681,1,5,0,60.88
946,1772,1,24.33,1,40.59
2444,4531,1,0,0,40.92
