index_number,instructor_rating_udemy,number_of_reviews_udemy,number_of_students_udemy,number_of_courses_udemy
2422,5.0,538,5617,1
510,4.6,1386,59588,3
709,4.4,135,2671,8
337,3.8,1034,6400,2
2229,4.6,7148,38573,2
2554,4.4,3601,22913,4
930,4.7,133034,1076835,13
1285,4.5,18686,195778,26
1093,4.4,7933,64515,10
1486,4.6,4238,171944,1
2122,4.8,395,2363,1
2101,4.0,233,7624,2
350,4.5,35771,303405,18
1043,4.2,3471,20384,17
1545,4.5,5008,111603,2
1319,4.4,10172,295774,2
466,4.9,32,107,1
2285,4.5,11921,111476,3
925,4.3,13882,96668,22
924,4.3,15937,259902,27
456,4.6,830,10583,1
220,3.8,10,979,1
457,4.3,15190,80446,2
2806,4.7,12963,133128,6
919,4.5,12268,159948,17
88,4.5,7208,27571,7
1174,4.0,893,17346,6
1025,4.6,1447,13253,17
104,3.9,31,4042,2
1076,4.3,23482,80314,7
277,4.5,37311,447009,27
2924,4.8,233,871,1
1406,4.2,13136,44593,40
2423,4.5,2396,66363,9
689,4.3,701,3547,8
1965,3.7,460,1589,8
1164,4.5,12871,67131,4
659,4.1,139,1464,5
81,4.6,986290,2645729,59
1953,4.5,189,6338,1
2136,4.2,826,3879,2
494,4.6,94,1291,2
2373,4.4,667,27254,3
153,4.5,301246,749851,20
249,4.5,20,160,1
622,4.5,301,2764,2
499,4.5,164,427,4
1721,4.5,17638,67768,9
992,4.5,36444,251873,26
179,4.4,140,2109,3
1300,4.6,296,7375,1
1372,4.0,745,31904,3
1198,4.7,1349,13750,8
1480,4.7,858,9032,2
932,4.3,5629,37076,18
149,4.4,6730,116439,3
2471,4.3,189,23736,1
1876,4.3,1104,30811,5
33,3.9,1301,48103,23
2027,4.6,1357,81571,11
2598,4.7,2619,16828,11
2929,3.6,149,4255,1
902,4.2,4574,310046,4
1773,4.7,177,4927,1
1596,4.4,789,20832,1
2699,4.1,308,16268,2
345,4.6,249,2007,4
64,4.4,1514,12110,5
509,4.3,28,3474,2
154,4.1,173,8846,3
2251,3.6,495,74309,2
482,3.9,475,33163,7
796,4.4,466,18580,1
1402,4.7,6597,40086,1
2503,4.4,16506,103071,17
1371,4.4,401,1594,2
2500,4.7,265,10044,3
1035,4.5,2081,14815,8
239,4.1,249,6613,5
317,4.4,41123,168943,24
1509,4.3,4460,50513,23
955,4.5,2679,31120,8
969,4.3,885,6513,8
2851,4.3,364,11227,1
