,Index,Youtube Comment
0,1,
1,2,
2,3,"Check out my website for complete courses (maximum discounted links) :

http://www.bharaththippireddy.com/2020/05/new-course-devops-tools-and-aws-for.html"
3,3,Sorry to ask on this channel  but on the python core and advanced class you teach on udemy  does pycharm work fine? or do we have to use pydev?
4,3,Broad knowledge explained in 3 minutes  wao
5,4,Always appreciste your videos and courses
6,5,
7,6,I hope that you found this video useful learning about the basics of web 3 and its differences from Web 1 & 2. Liked this content?  Buy Me A Kofi To Show Your Support: https://ko-fi.com/P5P34J14C
8,6,"I just finished watching your course ""Programming 101"" on Udemy. So glad I did. I will be continuing my journey of learning software development and I am happy to have a more intimate understanding of how computers work. Thank you."
9,6,Hi mate! A few years ago I have seen some of your videos  but then I've lost your channel. Nowadays I'm learning programming again in a more structured form  at a BootCamp but often I have hardships understanding some topic explanations there. Of course  there are hundreds of videos on youtube about each topic  but sometimes they doesn't help me either. Somewhere in my mind  I remembered you  your face  your voice  your explanations  that you were very clear at some topics a few years ago. Today I tried to find you and luckily  I'm here. I have remembered you explaining once that many programmers mismatch the word argument and parameter. This memory led me to succeed in finding your channel. I typed this into the youtube search and I'm glad I got you! I'm going to dig deeper on your channel in the next few months and I think  you gonna be one of my favorite tutors from now on!
10,6,Super helpful insight into Web 3! The future of the internet sounds interesting.
11,6,In your Moralis example  does Moralis have the power to view the data before they insert it into the blockchain? If yes  does that leave them exposed to government intervention? Is the data stored by Moralis after being inserted into the blockchain?
12,6,Very insightful. Came to learn about Web3 and learnt things I didn't know about blockchain.
13,6,Spot on  pretty much everything you said is correct here  and then some!
14,6,does this have implications for carbon footprint of the web?
15,6,They won't need to harass the company anymore because they can just find it in the blockchain themselves. This is the most foolish endeavor and backwards thinking I have EVER heard of. The security of this is PURELY based on obfuscation.
16,6,Which blockchain is most Web3 friendly?  Ethereum or some other?  I keep hearing Web3 is Ethereum based... not true?
17,6,Good job. I think there is also some kind of platform generation difference too. Like Bitcoin is generation 1  Etherium is generation 2  and Polkadot is generation 3.
18,7,Sir  Kindly Explain how to deal with the Balance Sheets with Negative Capital please...
19,7,do you have courses with 2599 still? and if you have  are these pre-recorded videos or e-books?
20,7,Sir make video for acca students
21,7,Explanation well. Did you finished CA after Your Degree??? Pls
22,7,Where can I see and enroll for 2599 is it still available sir?
23,7,Please explain Caro and Statutory Audit
24,7,Do you have any course to become finance manager currently am working as chief Accountant .Am week at presentation skill
25,8,
26,9,And there we have it  maestro Chris  the grand unveiling of our journey through time! Your Oscar-worthy performance  deep historical knowledge  and magical use of Excel is a sight to behold. Thanks for giving it your all  it has been a pleasure collaborating with you on this!   
27,9,The course is also mind blowing just like this awesome trailer. Thank you Prof. Chris for adding so much value to our careers. I'm indebted to you.
28,9,This is amazing  Chris. Itâs unimaginable!
29,9,What an amazing way of explaining the journey and the importance of Excel.
30,9,Awesome!!! So cinematic!!! How did you shoot that Chris? :)
31,9,I haven't laughed really hard in a while now but just watching this movie (oh sorry!) course trailer got me chuckling  smiling and laughing all at the same time. This is just EPIC...Infact epic doesn't even begin to describe this! All I can say is - THIS IS PURE GOLD!
32,9,OH MY GOD! So cool advertisement! Simply amazing job! So creative  informative and interesting. Never thought that excel course ad could be so cool.
33,9,OMG! Thanks for having our editor in this video! This is amazing!
34,9,These men took us back to 5000 years and in future in 4 minutes Dude take a bow Dear Sir...
35,9,My god its incredible and almost a new avatar of Chris.
36,9,He must be a millionaire now to make such a commercial video for his courses.
37,9,"Only one word 
Awesome Awesome Awesome............... Chris"
38,9,ahahahaha I love this! What a great way to get people involved in this!
39,9,I have never seen this level of advertisement  great job. Keep doing what you do  btw i am planning to buy your course just because of sick ad
40,9,This video is way better than some of the marvel movies to be honest  love it.
41,9,I dont watch YouTube ads but you got my attention. Great ad 
42,9,Awesome video chris
43,9,Love this video very much
44,9,i don't need the course but i'm here bro  you got my attention! lol
45,9,Omg this is like a movie trailer!
46,10,
47,11," Download the free exercise files to follow along https://www.simonsezit.com/excel-2021-beginner-to-advanced-course-files/

Check out our FREE 300+ hour training course playlist here "
48,11,"FORMULAS

1. basic alzebra

2.count countA(for albhatic also) countBlank(for no of blank blocks)

3. Average"
49,11,I really like the teaching style and lessons from Simon Sez  especially this instructor.  I signed up for their Excel Business Analysis course because it had a lot of great worksheets (and others like MS Project  Alteryx  etc ).  Just wish they had these instructions when I started out using the different software (I just find it too challenging to learn from books  or web articles  which was my primary learning method years ago).
50,11,Hello Deborah and the whole simon sez family  thank u guys very much for this wonderful course. It was learner's centered rather than teacher centered. I just finished it. What a lovely style of teaching.
51,11,At 5.5 Hours. Best tutorial ever taken. To the point  no fluff. Thank you.
52,11,Exceptional course!! Well done! Really helpful and totally easy to follow! Keep up the good work :)
53,11,Your lessons are really wonderful. Thank you so very much. However  under the Randarray assignment where the objective was to generate revenues and profits for the various sales personnel  some profit figures were greater than the corresponding revenues. Is that possible?
54,11,Its great to be able to do courses like this one  thank you so much for letting me learn for free.
55,11,Best educational and technical training channel by far. Clarity  Focused and Learner friendly .
56,11,Very nice teaching style  specific to the point many thanks 3:28:00
57,11,Thanks for helping me perfect my skills in Excel  your teaching  style is apt and great instructors.
58,11,"I am writing to thank you for the excellent Excel training that I recently completed on your YouTube channel. I learned so much from your clear and concise explanations  and I am now much more confident in my ability to use Excel.



I particularly appreciated the way you took the time to explain the underlying concepts of Excel  as well as the practical applications of these concepts. This made it much easier for me to understand how Excel works and how I can use it to solve real-world problems."
59,11,Thank you so much for this tutorial  the Instructor has done a superb job  keep it up.
60,11,Great teaching and i'm enjoying the class  i downloaded the course file but most of the section and exercise files where showing error  the file name has been changed or moved... is there a way these can be fixed?
61,11,Hi. Firstly  thank you so much for this EXCELLENT course.  I am learning so much.  I am in the last lesson of the Intermediate section: 06-07 calculate dates with edate and eomonth  but the Instructor File for this lesson is not in the download packet.
62,11,Great skills to teach.. I really enjoy learning from your videos
63,11,Thank You   for a great course  and the voice of the instructor is pleasant to the ear. I am learning a ton and easily.
64,11,great course  Does it include graphing data on excel ?
65,11,Thanks for the tutorial. I learned a lot from it. Can we get a certificate of conclusion to post it on LinkedIn?
66,11,Just perfect well done
67,12,"Cara  explicaÃ§Ã£o muito boa pois se arraiga no fundamento principal de CRM  que  como foi explicado  nÃ£o Ã© simplesmente um software Ã© um conceito.
FantÃ¡stico!
Muito Obrigado por Compartilhar!"
68,12,Boa noite Leopoldo! seus videos aulas sÃ£o muitos esclarecedores e nÃ£o entende quem nÃ£o quer  e te garanto que muitas empresas instaladas aqui em nosso pais estÃ£o nos primÃ³rdios conceito de que o importante e produzir e empurrar em nossa garganta abaixo. Esse conceito nÃ£o faz parte do CARDÃPIO DA OI; CLARO VIVO E TIM; ETC... E O MAIS ILÃRICO DE TUDO ISSO E QUE CONTINUAMOS A PAGAR E COMER SEM NOS DEIXAR SACIADOS POIS OS INGREDIENTES DOS SEUS PRODUTOS SEMPRE ESTA FALTANDO ALGUMA COISA.
69,12,Acabei de conhecer esse canal  estou gostando muito!
70,12,"Boa noite professor  tudo bem?
Estou com dÃºvidas nos teÃ³ricos do CRM e quem fundou. Poderia me esclarecer?"
71,12,Muito claro. Obrigado por compartilhar.
72,12,Melhor explicaÃ§Ã£o!
73,12,Nossa melhor explicaÃ§Ã£o ...Par@bens ....
74,12,show de explicaÃ§Ã£o :) parabÃ©ns
75,12,Resumindo:  Telemarketing que mexe com isso ne? no caso Crm so estÃ¡ relacionado com Vendas???
76,13,Hey Hari  its Nick  we talked about options in Mauritius
77,13,so great wouldnt be for sale
78,14,
79,14,Phil Ebiner  can I talk to you about something important?
80,15,
81,16,
82,17,
83,18,
84,19,
85,20,
86,21,
