Index,LinkedIn Url,Company Name,Company work status,Number of followers,Number of employees,About section,Frequency of the latest post,Number of reactions got for latest post,Number of comments got for latest post,Frequency of the second latest post,Number of reactions got for second latest post,Number of comments got for second latest post
370,https://linkedin.com/company/3dmotive,3dmotive,,136 followers,3 employees,,N/A,N/A,N/A,N/A,N/A,N/A
42,https://linkedin.com/company/tokenmeister/,TokenMeister,"An independent, reliable source of education and information in the field of blockchain, cryptocurrency and ICOs.",21 followers,1 employee,,N/A,N/A,N/A,N/A,N/A,N/A
1987,https://linkedin.com/company/analytics-vidhya/,Analytics Vidhya,World's Leading & India's Largest Data Science Community,"176,426 followers",451 employees,"Analytics Vidhya is World's Leading Data Science Community & Knowledge Portal. The mission is to
create next-gen data science ecosystem!  This platform allows people to learn & advance their skills

          through various training programs, know more about data science from its articles, Q&A foru
...
see more

 ... see more","2h • 

 2h •",24,,"5h • Edited • 

 5h • Edited •",46,
1626,https://linkedin.com/company/9504158?trk=tyah&trkInfo=clickedVertical%3Acompany%2CclickedEntityId%3A9504158%2Cidx%3A3-2-5%2CtarId%3A1454156993942%2Ct,London App Brewery,Learn to code from beginning to end.,"10,620 followers",27 employees,"The London App Brewery makes learning to program fun and accessible. We design programming
courses that teach programming through doing. This is why we are the fastest way to learn to code and

          make native iOS and Android apps.  Through our hands on approach, students learn the stru
...
see more

 ... see more",N/A,N/A,N/A,N/A,N/A,N/A
884,https://linkedin.com/company/inner-ear-uk-ltd-,Inner Ear,We enjoy helping you bring your ideas to life. We make programmes about cultural projects to bring your audience closer.,119 followers,7 employees,"Inner Ear Ltd. is a digital media production company specialising in both the production and utilisation of
high-quality digital content. We make material for streaming, broadcast, mobile and podcast distribution.

          We produce programmes for brands, broadcasters and businesses.  We create and use new 
...
see more

 ... see more",N/A,N/A,N/A,N/A,N/A,N/A
15,https://linkedin.com//company/triumph-at-trading,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2451,https://linkedin.com/company/vantage-data,Vantage Data,Vantage offers analytics as a service for clients across South Africa and Europe.,"1,002 followers",22 employees,"Vantage Data offers Data Analytics as a service. With our advanced team of data scientists, analysts,
developers and account managers we capture, cleanse and integrate data to be modelled, visualized

          and monetized. Your business will be able to drive a return on investment by making faster 
...
see more

 ... see more","2mo • 

 2mo •",4,,"2mo • 

 2mo •",22,2 comments
1518,https://linkedin.com/company/workingwithshopify,Working With Shopify,"Community for developers, designers, freelancers, agencies, and everyone else working with the Shopify Platform.",534 followers,1 employee,,N/A,N/A,N/A,N/A,N/A,N/A
2260,https://linkedin.com/company/mainframenation/,Mainframe Nation,Video courses about Mainframes.,198 followers,1 employee,"          Video courses about Mainframes
 ... see more",N/A,N/A,N/A,N/A,N/A,N/A
930,https://linkedin.com/company/gamedev-tv/,GameDev.tv,"Helping 700k+ people start their Game Dev journey. Learn to code video games in C#, C++, Unity, Blender, Unreal & more","4,430 followers",18 employees,"GameDev.tv an online game development school that is dedicated to teaching you how to code indie
video games via course instruction in C++, C#, Unreal, Unity, Blender.   Get 90% off your first course

          using code: LINKEDIN at https://www.GameDev.tv  Learn to make RPG's, inventory, characte
...
see more

 ... see more","1h • 

 1h •",1,,"20h • 

 20h •",,
