index_number,subscriber_count_youtube,videos_posted_count_youtube,channel_average_view_count_youtube,featured_video_comments_count_youtube
299,486,11,2583,0
757,4800,83,420263,25
196,120000,394,1016583,2
1100,43700,288,1799170,0
7,134000,2400,8750786,15
1093,15000,274,913839,4
138,2400,56,276033,0
1400,1100,10,393,0
1486,2200,7,22113,21
1533,5600,126,402845,10
2506,3,2,33,0
1108,2600,351,62832,0
502,17,2,456,0
785,948,369,34005,0
2140,102,36,3863,0
1431,1200,101,93765,17
1074,1700,68,98959,0
1334,3700,142,293436,3
456,2800,150,595764,62
113,284,20,104121,0
1112,53900,181,2043256,0
2223,39,26,6916,0
2806,349000,877,20404679,166
1003,3100,72,97641,6
1025,3000,149,445438,19
104,12,8,2071,0
2770,73,8,244,0
681,25300,273,1678312,8
2215,2800,99,205079,0
844,164,37,4623,1
911,882,22,11020,3
659,525,96,62726,0
951,224,2,11244,0
1953,512,105,188415,71
2640,34000,98,2401009,204
202,503,96,62849,0
2409,86,8,1261,0
1735,5600,155,559462,0
1868,5100,145,590417,0
941,10600,1500,817233,3
179,2100,11,227003,123
1300,222,80,142554,2
1198,6800,16,378617,54
256,38000,229,11913366,8
1448,373,39,74457,8
1136,9100,319,1837431,0
2957,10500,130,1512474,0
149,6300,60,758152,0
2471,1300,38,37329,10
61,1100,235,208678,1
276,11300,1400,7181153,3
2424,4400,1700,1069232,2
1773,790,146,134771,0
403,47500,3300,22829182,3
194,20000,241,1560245,6
345,108,28,43819,0
19,202,223,290811,0
509,5700,148,220253,0
247,27,21,3194,0
1991,978,28,37491,0
1104,14700,268,3399994,6
154,56,12,23180,0
1402,15500,94,1334059,61
668,8600,39,1095156,0
239,401,51,43001,0
738,23600,582,2853082,0
2550,1400,458,395375,3
430,108000,320,5701573,142
2802,530,34,88973,6
522,31400,1900,12504856,0
1586,47100,544,7240390,15
642,422,84,30993,0
622,9900,221,240861,2
1509,26000,348,1020196,0
1247,44,4,3367,0
955,4700,36,786440,0
1273,38500,250,2506341,0
2851,8300,204,427131,24
2943,3700,142,421256,0
892,695,164,35856,2
1931,901,28,78460,17
959,1900000,104,79297876,78
913,1200,80,34248,4
277,8600,143,1242439,0
2598,18000,228,751327,19
1160,240,40,25675,0
413,300,44,20696,0
1305,86800,1000,14570223,1
304,5,5,247,0
2199,589,5,40708,0
1803,7800,43,1327013,0
1227,7200,214,614699,0
953,306,1,637,0
1301,166,194,20978,0
1229,1200,121,189714,0
2075,4400,409,1252048,0
1688,188000,634,14930548,68
1856,995,132,85694,0
385,3,8,316,1
1965,6400,595,3688671,13
570,7100,202,776732,48
1649,4100,147,387294,337
1764,544,8,15715,0
947,317,9,93181,0
900,17300,140,1157897,0
1172,5200,58,754851,16
1611,540,151,112936,0
143,11300,146,937756,0
1906,5700,6,12849,0
1489,423,10,33399,0
1047,14400,98,594352,153
1142,18700,151,1131114,0
584,2700,200,329229,0
1895,620000,902,75887297,0
270,158,6,3442,0
972,10600,70,1138868,12
2080,1,2,63,0
946,15400,331,2954977,0
332,513,65,55244,0
1995,692,51,41809,0
474,32800,580,4071793,18
1769,71400,162,4733845,26
1661,2700,133,148202,0
2154,1200,154,38075,0
1059,2400,107,430586,0
1008,16500,156,1912277,12
2657,2100,381,121847,0
2376,25100,464,2273952,15
493,49500,1000,7474884,3
2079,6400,59,222681,0
2857,194,37,85531,0
2814,25,9,20635,0
1254,16300,467,1461886,0
282,2900,69,321469,27
2283,4300,136,531856,5
1812,852,68,186189,0
88,1500,79,34352,0
2503,19500,171,1879413,16
2229,15800,8,987715,413
901,35,61,3155,0
696,573,83,87406,3
1366,4900,164,168716,1
1707,2200,120,222127,0
2788,978,145,149988,0
52,19000,245,766281,14
2804,561,237,45449,0
2952,1300,35,27220,0
213,3500,135,556472,32
1013,354,295,69326,0
950,20500,51,830719,0
1319,12800,41,157848,55
1976,63,1,84,0
889,2300,158,219078,0
2253,328,56,115269,0
17,57400,84,692629,0
1554,11000,73,578794,30
114,237000,883,18349745,62
49,1200,17,236184,0
983,121000,111,5933644,87
67,56300,286,4058573,731
2034,325,16,13626,0
2524,124000,609,15698626,0
305,2800,21,296990,0
1545,16200,143,600541,19
2459,18700,243,1333393,51
1114,29500,1900,3912502,20
1296,24700,39,1214781,4
532,16700,155,1210636,0
882,197000,6900,17833590,28
1663,101,78,11396,0
1228,307,36,86953,0
1037,3100,132,150376,25
1685,265,14,46036,0
116,2000,16,119329,0
195,18900,30,2172514,0
71,1000,44,128287,0
1767,1300,120,46563,0
958,7700,240,365364,0
294,884,12,88939,0
1979,2600,50,75344,0
708,23400,792,1034274,5
1469,3600,329,422910,0
125,6400,226,1361549,12
153,3500000,177,176645686,8
2359,633,2,4356,0
422,24100,594,2869597,1
2489,5000,86,321727,0
2286,12,5,841,0
656,6,3,64,0
1295,4400,98,108843,0
2088,5200,174,502356,0
11,500000,2000,72470328,202
1553,36700,276,5391194,2
103,5300,220,2852114,0
83,23800,30,846798,0
130,9000,52,99357,1
105,2100,35,117495,0
1447,965,190,12636,0
224,745,17,26433,0
1966,581,75,108029,0
478,2100000,957,203312631,538
1406,14900,252,1168836,0
998,18400,351,1253405,1
1654,255,39,35801,0
1185,5800,535,698455,12
2795,1300,11,84107,0
1186,1200,155,302196,0
2724,53100,509,4063324,70
1132,211,31,21592,0
510,14,5,1111,0
161,41700,298,3454575,0
612,1400,111,109743,4
974,244,49,77394,0
1741,14100,99,1538103,2
1969,14700,147,391762,0
1728,119000,966,13569411,1
1250,81,18,10265,0
932,70500,238,9386859,0
76,1800,64,396479,0
2288,424,82,138855,8
266,9200,71,1536458,123
2152,38,13,631,0
462,395000,461,40269671,842
1022,187,40,7047,0
1370,4300,100,344357,0
23,60800,1100,7216294,24
1915,396,21,6981,0
1744,4100,349,529310,0
2340,5200,99,14167,0
22,99400,672,16024051,183
940,337,50,40405,0
723,5300,81,454975,0
2979,131,53,15691,0
1005,8100,131,744476,1
978,9400,60,104485,0
1285,966,112,141411,0
965,391,13,31541,0
1561,34800,628,3782975,19
863,7900,155,476900,9
479,731,155,342406,1
2911,255,152,56382,0
494,330,41,82370,0
1181,166,21,56943,0
56,18500,263,2022582,0
1062,16800,359,3720887,15
2748,1600,12,156677,0
1030,10400,12,78383,0
1433,139,1,34,2
813,15300,338,2499577,0
1190,1500,406,696471,0
1121,27400,613,2520300,0
928,27000,219,1719627,3
4,3700,1200,193751,2
1457,112,65,20135,2
786,434,99,64035,9
1698,4400,72,242728,0
1298,74100,372,9187797,35
45,14000,1000,2618221,0
635,1100,17,162294,0
1076,8700,104,393598,0
480,14000,2600,1203548,11
1290,476,8,549,0
966,2100,34,140592,9
942,1400,26,63661,0
386,10700,238,882497,5
2500,51,270,10200,0
1371,2800,27,944704,0
518,337,106,54383,0
1350,2000,63,130866,0
95,434,277,90230,0
1039,87700,182,5040706,170
2644,5300,639,393908,2
382,183,172,4792,0
1082,186,12,12541,0
1987,39500,758,1479353,4
1128,17600,484,2430469,0
2318,4900,87,757350,20
981,165000,518,10809037,22
2234,182,84,41742,0
2155,2500,267,458351,0
984,7800,87,703931,0
1862,5200,172,755430,4
1101,1000,511,161018,0
2744,2300,11,12709,9
1107,10000,325,652840,3
1276,199,40,75964,0
1383,83500,978,13012408,14
1168,424,17,26091,0
745,18000,100,1448162,5
1635,28700,378,4704061,0
1359,10000,104,1016971,50
3003,12100,148,952355,81
99,13600,955,2059541,0
1470,44300,462,5233392,5
1412,1600,153,70538,12
192,6700,278,276804,0
576,72,26,5230,0
47,48,2,1172,0
1145,306000,325,16824170,0
599,4700,92,221433,0
1233,2800,31,688195,44
776,1100,1,110,0
922,16400,197,714133,4
1784,1100,636,103087,0
229,3200,158,280477,0
1438,608,30,382578,0
450,104,26,42449,0
1419,23000,363,1569645,0
60,4800,183,195457,19
1189,5000,38,460445,6
1529,183000,417,17208882,9
1949,1300,20,435496,5
1226,9700,123,868259,0
1756,125,13,6101,0
790,14,12,1521,0
2905,508,20,18168,0
1996,35500,288,3480543,11
2667,99,14,8387,0
1565,228000,296,12525660,325
1552,3800,69,1015695,0
2480,420,167,13025,0
1721,1500,15,101797,0
322,58100,186,4299887,7
1789,5600,265,651703,1
2274,357,72,21743,0
897,12100,237,1221440,0
2357,91,31,31997,0
905,2600,153,351465,0
952,524,19,66254,0
1631,3900,13,357664,0
3000,48,11,1226,0
421,1500,88,281173,0
188,44600,334,4607329,97
1577,15100,119,1639340,0
1851,77900,654,15051057,6
142,1900,478,415592,0
686,12200,210,1053623,0
2944,13500,143,653068,3
1115,832,39,198105,0
58,42000,685,9292134,4
961,2,12,1276,0
888,6500,203,1775371,0
2073,7000,109,739917,16
611,5,5,783,0
2699,55,10,2619,0
1523,99,9,16452,18
750,5300,450,751083,2
2285,2700,130,195083,2
1027,1200,121,162234,0
1061,110000,591,8911318,18
1271,481000,1100,64693782,165
2065,7000,197,546452,18
1852,34300,640,4346061,0
316,54,6,2030,2
1279,9100,98,737960,0
1774,19500,107,1492608,0
720,2300,150,129270,0
1453,32200,118,643238,11
709,4800,2400,371048,0
1272,2200,485,220755,0
254,3800,1000,960865,134
1134,38100,112,1903410,181
1347,92600,77,74588,39
41,24500,251,1903516,6
2163,79000,1100,6242881,291
2194,16100,82,1614981,0
376,10,1,83,0
2391,20,2,342,0
29,12300,374,2364031,3
985,81,28,6578,0
884,19,15,2098,0
1427,393,223,3716,0
634,3000,53,212209,100
286,30,12,9631,0
2517,2400,493,651118,0
566,1900,352,146483,0
1065,8,1,84,0
1050,104,213,787,0
1889,749,117,39448,0
364,127000,281,15374071,160
1024,87,10,2964,0
27,1800,56,161864,0
2399,1100,21,169348,69
1780,869,21,108244,0
57,91900,10000,15810819,0
1332,4000,79,291603,4
8,1900,164,591973,0
1786,4300,60,1587699,0
434,41,13,890,2
381,41,22,1963,0
1007,69900,97,1832332,131
1527,24700,1100,4629421,3
361,5000,183,1396800,0
2244,7200,108,1073181,11
1508,1400,44,7016,0
1872,2000,3,2960,0
2484,343,95,31574,0
1929,8700,236,1356299,14
1776,9300,218,1168132,0
337,535,31,98236,0
1779,131,44,13390,0
409,37400,915,9620131,0
975,14500,265,265800,1
64,330,55,59064,0
1322,1300,52,123617,0
2554,15600,145,560372,30
1815,15,9,662,0
2363,805,137,85878,0
976,93600,273,3814837,35
2101,2000,24,117332,7
378,627,49,42153,2
501,12,1,175,0
279,2000,41,396042,0
1130,291,128,196284,0
2362,378,57,31578,0
1163,3000,65,30134,0
216,12400,111,1499652,9
2,8400,512,1217051,0
1124,41,19,4000,0
658,29,84,5370,0
133,36600,1000,6847818,0
2360,821000,115,81050869,0
321,722,65,85149,0
1871,78,14,1161,0
2294,168,11,4984,0
886,1300,417,157626,0
861,154000,926,30970407,4
988,3400,216,469979,0
